"","symbol","entrez","entrez_mouse","symbol_mouse"
"1","A1BG","1","117586","A1bg"
"2","A2M","2","232345","A2m"
"3","NAT1","9","17961","Nat2"
"4","NAT2","10","17960","Nat1"
"5","SERPINA3","12","16625","Serpina3c"
"6","AADAC","13","67758","Aadac"
"7","AAMP","14","227290","Aamp"
"8","AANAT","15","11298","Aanat"
"9","AARS","16","234734","Aars"
"10","ABAT","18","268860","Abat"
"11","ABCA1","19","11303","Abca1"
"12","ABCA2","20","11305","Abca2"
"13","ABCA3","21","27410","Abca3"
"14","ABCB7","22","11306","Abcb7"
"15","ABCF1","23","224742","Abcf1"
"16","ABCA4","24","11304","Abca4"
"17","ABL1","25","11350","Abl1"
"18","AOC1","26","76507","Aoc1"
"19","ABL2","27","11352","Abl2"
"20","ABO","28","80908","Abo"
"21","ABR","29","109934","Abr"
"22","ACAA1","30","113868","Acaa1a"
"23","ACACA","31","107476","Acaca"
"24","ACACB","32","100705","Acacb"
"25","ACADL","33","11363","Acadl"
"26","ACADM","34","11364","Acadm"
"27","ACADS","35","11409","Acads"
"28","ACADSB","36","66885","Acadsb"
"29","ACADVL","37","11370","Acadvl"
"30","ACAT1","38","110446","Acat1"
"31","ACAT2","39","110460","Acat2"
"32","ASIC2","40","11418","Asic2"
"33","ASIC1","41","11419","Asic1"
"34","ACHE","43","11423","Ache"
"35","ACLY","47","104112","Acly"
"36","ACO1","48","11428","Aco1"
"37","ACR","49","11434","Acr"
"38","ACO2","50","11429","Aco2"
"39","ACOX1","51","11430","Acox1"
"40","ACP1","52","11431","Acp1"
"41","ACP2","53","11432","Acp2"
"42","ACPP","55","56318","Acpp"
"43","ACRV1","56","11451","Acrv1"
"44","ACTA1","58","11459","Acta1"
"45","ACTA2","59","11475","Acta2"
"46","ACTB","60","11461","Actb"
"47","ACTC1","70","11464","Actc1"
"48","ACTG1","71","11465","Actg1"
"49","ACTG2","72","11468","Actg2"
"50","ACTN4","81","60595","Actn4"
"51","ACTL6A","86","56456","Actl6a"
"52","ACTN1","87","109711","Actn1"
"53","ACTN2","88","11472","Actn2"
"54","ACVR1","90","11477","Acvr1"
"55","ACVR1B","91","11479","Acvr1b"
"56","ACVR2A","92","11480","Acvr2a"
"57","ACVR2B","93","11481","Acvr2b"
"58","ACVRL1","94","11482","Acvrl1"
"59","ACY1","95","109652","Acy1"
"60","ACYP1","97","66204","Acyp1"
"61","ACYP2","98","75572","Acyp2"
"62","ADA","100","11486","Ada"
"63","ADAM8","101","11501","Adam8"
"64","ADAM10","102","11487","Adam10"
"65","ADAR","103","56417","Adar"
"66","ADARB1","104","110532","Adarb1"
"67","ADARB2","105","94191","Adarb2"
"68","ADCY1","107","432530","Adcy1"
"69","ADCY2","108","210044","Adcy2"
"70","ADCY3","109","104111","Adcy3"
"71","ADCY5","111","224129","Adcy5"
"72","ADCY6","112","11512","Adcy6"
"73","ADCY7","113","11513","Adcy7"
"74","ADCY8","114","11514","Adcy8"
"75","ADCY9","115","11515","Adcy9"
"76","ADCYAP1","116","11516","Adcyap1"
"77","ADCYAP1R1","117","11517","Adcyap1r1"
"78","ADD1","118","11518","Add1"
"79","ADD2","119","11519","Add2"
"80","ADD3","120","27360","Add3"
"81","PLIN2","123","11520","Plin2"
"82","ADH1C","126","11522","Adh1"
"83","ADH4","127","26876","Adh4"
"84","ADH5","128","11532","Adh5"
"85","ADH7","131","11529","Adh7"
"86","ADK","132","11534","Adk"
"87","ADM","133","11535","Adm"
"88","ADORA1","134","11539","Adora1"
"89","ADORA2A","135","11540","Adora2a"
"90","ADORA2B","136","11541","Adora2b"
"91","ADORA3","140","11542","Adora3"
"92","ADPRH","141","11544","Adprh"
"93","PARP1","142","11545","Parp1"
"94","PARP4","143","328417","Parp4"
"95","ADRA1D","146","11550","Adra1d"
"96","ADRA1B","147","11548","Adra1b"
"97","ADRA1A","148","11549","Adra1a"
"98","ADRA2A","150","11551","Adra2a"
"99","ADRA2B","151","11552","Adra2b"
"100","ADRA2C","152","11553","Adra2c"
"101","ADRB1","153","11554","Adrb1"
"102","ADRB2","154","11555","Adrb2"
"103","ADRB3","155","11556","Adrb3"
"104","GRK2","156","110355","Grk2"
"105","GRK3","157","320129","Grk3"
"106","ADSL","158","11564","Adsl"
"107","ADSS","159","11566","Adss"
"108","AP2A1","160","11771","Ap2a1"
"109","AP2A2","161","11772","Ap2a2"
"110","AP1B1","162","11764","Ap1b1"
"111","AP1G1","164","11765","Ap1g1"
"112","AEBP1","165","11568","Aebp1"
"113","AES","166","14797","Aes"
"114","CRISP1","167","78081","Crisp4"
"115","AFM","173","280662","Afm"
"116","AFP","174","11576","Afp"
"117","AGA","175","11593","Aga"
"118","AGER","177","11596","Ager"
"119","AGL","178","77559","Agl"
"120","AGRP","181","11604","Agrp"
"121","JAG1","182","16449","Jag1"
"122","AGT","183","11606","Agt"
"123","AGTR1","185","11607","Agtr1a"
"124","AGTR2","186","11609","Agtr2"
"125","APLNR","187","23796","Aplnr"
"126","AGXT","189","11611","Agxt"
"127","NR0B1","190","11614","Nr0b1"
"128","AHCY","191","269378","Ahcy"
"129","AHR","196","11622","Ahr"
"130","AHSG","197","11625","Ahsg"
"131","AIF1","199","11629","Aif1"
"132","CRYBG1","202","11630","Crybg1"
"133","AK1","203","11636","Ak1"
"134","AK2","204","11637","Ak2"
"135","AK4","205","11639","Ak4"
"136","AKT1","207","11651","Akt1"
"137","AKT2","208","11652","Akt2"
"138","ALAD","210","17025","Alad"
"139","ALAS1","211","11655","Alas1"
"140","ALAS2","212","11656","Alas2"
"141","ALB","213","11657","Alb"
"142","ALCAM","214","11658","Alcam"
"143","ABCD1","215","11666","Abcd1"
"144","ALDH1A1","216","11668","Aldh1a1"
"145","ALDH2","217","11669","Aldh2"
"146","ALDH3A1","218","11670","Aldh3a1"
"147","ALDH1B1","219","72535","Aldh1b1"
"148","ALDH1A3","220","56847","Aldh1a3"
"149","ALDH3B1","221","67689","Aldh3b1"
"150","ALDH9A1","223","56752","Aldh9a1"
"151","ALDH3A2","224","11671","Aldh3a2"
"152","ABCD2","225","26874","Abcd2"
"153","ALDOA","226","11674","Aldoa"
"154","ALDOB","229","230163","Aldob"
"155","ALDOC","230","11676","Aldoc"
"156","AKR1B1","231","11677","Akr1b3"
"157","ALK","238","11682","Alk"
"158","ALOX12","239","11684","Alox12"
"159","ALOX5","240","11689","Alox5"
"160","ALOX5AP","241","11690","Alox5ap"
"161","ALOX12B","242","11686","Alox12b"
"162","ALOX15","246","11687","Alox15"
"163","ALOX15B","247","11688","Alox8"
"164","ALPI","248","11648","Akp3"
"165","ALPL","249","11647","Alpl"
"166","ALPP","250","76768","Alpi"
"167","ALPPL2","251","11650","Alppl2"
"168","ALX3","257","11694","Alx3"
"169","AMBN","258","11698","Ambn"
"170","AMBP","259","11699","Ambp"
"171","AMD1","262","11702","Amd1"
"172","AMELY","266","11704","Amelx"
"173","AMFR","267","23802","Amfr"
"174","AMH","268","11705","Amh"
"175","AMHR2","269","110542","Amhr2"
"176","AMPD1","270","229665","Ampd1"
"177","AMPD2","271","109674","Ampd2"
"178","AMPD3","272","11717","Ampd3"
"179","AMPH","273","218038","Amph"
"180","BIN1","274","30948","Bin1"
"181","AMT","275","434437","Amt"
"182","AMY2A","279","11722","Amy1"
"183","AMY2B","280","109959","Amy2a5"
"184","ANG","283","11727","Ang"
"185","ANGPT1","284","11600","Angpt1"
"186","ANGPT2","285","11601","Angpt2"
"187","ANK1","286","11733","Ank1"
"188","ANK3","288","11735","Ank3"
"189","ANPEP","290","16790","Anpep"
"190","SLC25A4","291","11739","Slc25a4"
"191","SLC25A5","292","11740","Slc25a5"
"192","ANXA1","301","16952","Anxa1"
"193","ANXA2","302","12306","Anxa2"
"194","ANXA3","306","11745","Anxa3"
"195","ANXA4","307","11746","Anxa4"
"196","ANXA5","308","11747","Anxa5"
"197","ANXA6","309","11749","Anxa6"
"198","ANXA7","310","11750","Anxa7"
"199","ANXA11","311","11744","Anxa11"
"200","ANXA13","312","69787","Anxa13"
"201","AOAH","313","27052","Aoah"
"202","AOC2","314","237940","Aoc2"
"203","AOX1","316","11761","Aox1"
"204","APAF1","317","11783","Apaf1"
"205","NUDT2","318","66401","Nudt2"
"206","APOF","319","103161","Apof"
"207","APBA1","320","319924","Apba1"
"208","APBA2","321","11784","Apba2"
"209","APBB1","322","11785","Apbb1"
"210","APBB2","323","11787","Apbb2"
"211","APC","324","11789","Apc"
"212","APCS","325","20219","Apcs"
"213","AIRE","326","11634","Aire"
"214","APEH","327","235606","Apeh"
"215","APEX1","328","11792","Apex1"
"216","BIRC2","329","11797","Birc2"
"217","BIRC3","330","11796","Birc3"
"218","XIAP","331","11798","Xiap"
"219","BIRC5","332","11799","Birc5"
"220","APLP1","333","11803","Aplp1"
"221","APLP2","334","11804","Aplp2"
"222","APOA1","335","11806","Apoa1"
"223","APOA2","336","11807","Apoa2"
"224","APOA4","337","11808","Apoa4"
"225","APOB","338","238055","Apob"
"226","APOBEC1","339","11810","Apobec1"
"227","AQP8","343","11833","Aqp8"
"228","APOC2","344","11813","Apoc2"
"229","APOC4","346","11425","Apoc4"
"230","APOD","347","11815","Apod"
"231","APOE","348","11816","Apoe"
"232","APOH","350","11818","Apoh"
"233","APP","351","11820","App"
"234","APRT","353","11821","Aprt"
"235","KLK3","354","13646","Klk1b22"
"236","FAS","355","14102","Fas"
"237","FASLG","356","14103","Fasl"
"238","SHROOM2","357","110380","Shroom2"
"239","AQP1","358","11826","Aqp1"
"240","AQP2","359","11827","Aqp2"
"241","AQP3","360","11828","Aqp3"
"242","AQP4","361","11829","Aqp4"
"243","AQP5","362","11830","Aqp5"
"244","AQP6","363","11831","Aqp6"
"245","AQP7","364","11832","Aqp7"
"246","AQP9","366","64008","Aqp9"
"247","AR","367","11835","Ar"
"248","ABCC6","368","27421","Abcc6"
"249","ARAF","369","11836","Araf"
"250","ARCN1","372","213827","Arcn1"
"251","TRIM23","373","81003","Trim23"
"252","AREG","374","11839","Areg"
"253","ARF1","375","11840","Arf1"
"254","ARF3","377","11842","Arf3"
"255","ARF4","378","11843","Arf4"
"256","ARL4D","379","80981","Arl4d"
"257","ARF5","381","11844","Arf5"
"258","ARF6","382","11845","Arf6"
"259","ARG1","383","11846","Arg1"
"260","ARG2","384","11847","Arg2"
"261","RHOA","387","11848","Rhoa"
"262","RHOB","388","11852","Rhob"
"263","RHOC","389","11853","Rhoc"
"264","RND3","390","74194","Rnd3"
"265","RHOG","391","56212","Rhog"
"266","ARHGAP1","392","228359","Arhgap1"
"267","ARHGAP4","393","171207","Arhgap4"
"268","ARHGAP5","394","11855","Arhgap5"
"269","ARHGAP6","395","11856","Arhgap6"
"270","ARHGDIA","396","192662","Arhgdia"
"271","ARHGDIB","397","11857","Arhgdib"
"272","ARHGDIG","398","14570","Arhgdig"
"273","RHOH","399","74734","Rhoh"
"274","ARL1","400","104303","Arl1"
"275","PHOX2A","401","11859","Phox2a"
"276","ARL2","402","56327","Arl2"
"277","ARL3","403","56350","Arl3"
"278","ARNT","405","11863","Arnt"
"279","ARNTL","406","11865","Arntl"
"280","ARR3","407","170735","Arr3"
"281","ARRB1","408","109689","Arrb1"
"282","ARRB2","409","216869","Arrb2"
"283","ARSA","410","11883","Arsa"
"284","ARSB","411","11881","Arsb"
"285","ART1","417","11870","Art1"
"286","ART3","419","109979","Art3"
"287","ART4","420","109978","Art4"
"288","ARVCF","421","11877","Arvcf"
"289","ASAH1","427","11886","Asah1"
"290","ASCL1","429","17172","Ascl1"
"291","ASCL2","430","17173","Ascl2"
"292","ASGR1","432","11889","Asgr1"
"293","ASGR2","433","11890","Asgr2"
"294","ASIP","434","50518","a"
"295","ASL","435","109900","Asl"
"296","ASNA1","439","56495","Asna1"
"297","ASNS","440","27053","Asns"
"298","ASPA","443","11484","Aspa"
"299","ASPH","444","65973","Asph"
"300","ASS1","445","11898","Ass1"
"301","ASTN1","460","11899","Astn1"
"302","SERPINC1","462","11905","Serpinc1"
"303","ZFHX3","463","11906","Zfhx3"
"304","ATF1","466","11908","Atf1"
"305","ATF3","467","11910","Atf3"
"306","ATF4","468","11911","Atf4"
"307","ATIC","471","108147","Atic"
"308","ATM","472","11920","Atm"
"309","RERE","473","68703","Rere"
"310","ATOH1","474","11921","Atoh1"
"311","ATOX1","475","11927","Atox1"
"312","ATP1A1","476","11928","Atp1a1"
"313","ATP1A2","477","98660","Atp1a2"
"314","ATP1A3","478","232975","Atp1a3"
"315","ATP12A","479","192113","Atp12a"
"316","ATP1A4","480","27222","Atp1a4"
"317","ATP1B1","481","11931","Atp1b1"
"318","ATP1B2","482","11932","Atp1b2"
"319","ATP1B3","483","11933","Atp1b3"
"320","ATP2A1","487","11937","Atp2a1"
"321","ATP2A2","488","11938","Atp2a2"
"322","ATP2A3","489","53313","Atp2a3"
"323","ATP2B1","490","67972","Atp2b1"
"324","ATP2B2","491","11941","Atp2b2"
"325","ATP2B3","492","320707","Atp2b3"
"326","ATP2B4","493","381290","Atp2b4"
"327","ATP4A","495","11944","Atp4a"
"328","ATP4B","496","11945","Atp4b"
"329","ATP5A1","498","11946","Atp5a1"
"330","ALDH7A1","501","110695","Aldh7a1"
"331","ATP5B","506","11947","Atp5b"
"332","ATP5C1","509","11949","Atp5c1"
"333","ATP5D","513","66043","Atp5d"
"334","ATP5F1","515","11950","Atp5f1"
"335","ATP5G1","516","11951","Atp5g1"
"336","ATP5G2","517","67942","Atp5g2"
"337","ATP5G3","518","228033","Atp5g3"
"338","ATP5J","522","11957","Atp5j"
"339","ATP6V1A","523","11964","Atp6v1a"
"340","ATP6V1B1","525","110935","Atp6v1b1"
"341","ATP6V1B2","526","11966","Atp6v1b2"
"342","ATP6V0C","527","11984","Atp6v0c"
"343","ATP6V1C1","528","66335","Atp6v1c1"
"344","ATP6V1E1","529","11973","Atp6v1e1"
"345","ATP6V0B","533","114143","Atp6v0b"
"346","ATP6V1G2","534","66237","Atp6v1g2"
"347","ATP6V0A1","535","11975","Atp6v0a1"
"348","ATP6AP1","537","54411","Atp6ap1"
"349","ATP7A","538","11977","Atp7a"
"350","ATP5O","539","28080","Atp5o"
"351","ATP7B","540","11979","Atp7b"
"352","ATR","545","245000","Atr"
"353","ATRX","546","22589","Atrx"
